victims,date,type_of_attack,location,notes,name,age,sex,country
"Unknown, 10, maleUnknown, 10, male","October 22, 1815",Predatory,"Fontenay-sous-Fouronnes, France",A wolf killed two boys.,Unknown,NA,NA,France
"Unknown, 10, maleUnknown, 10, male","October 22, 1815",Predatory,"Fontenay-sous-Fouronnes, France",A wolf killed two boys.,NA,NA,NA,France
"Unknown, 10, maleUnknown, 10, male","October 22, 1815",Predatory,"Fontenay-sous-Fouronnes, France",A wolf killed two boys.,male,NA,male,France
"Unknown, 10, maleUnknown, 10, male","October 22, 1815",Predatory,"Fontenay-sous-Fouronnes, France",A wolf killed two boys.,Unknown,NA,NA,France
"Unknown, 10, maleUnknown, 10, male","October 22, 1815",Predatory,"Fontenay-sous-Fouronnes, France",A wolf killed two boys.,NA,NA,NA,France
"Unknown, 10, maleUnknown, 10, male","October 22, 1815",Predatory,"Fontenay-sous-Fouronnes, France",A wolf killed two boys.,male,NA,male,France
"Françoise Courtet, 10, female","October 11, 1815",Predatory,"Festigny, France",A wolf killed a girl who was picking acorns.,Fran,NA,NA,France
"Françoise Courtet, 10, female","October 11, 1815",Predatory,"Festigny, France",A wolf killed a girl who was picking acorns.,NA,NA,NA,France
"Françoise Courtet, 10, female","October 11, 1815",Predatory,"Festigny, France",A wolf killed a girl who was picking acorns.,female,NA,female,France
"Rose Rainardj, 6, female","August 8, 1815",Predatory,"Courry, France",A wolf dragged and ate a girl.,Rose Rainardj,NA,NA,France
"Rose Rainardj, 6, female","August 8, 1815",Predatory,"Courry, France",A wolf dragged and ate a girl.,NA,NA,NA,France
"Rose Rainardj, 6, female","August 8, 1815",Predatory,"Courry, France",A wolf dragged and ate a girl.,female,NA,female,France
"Cécile Trial, 12, female","June 20, 1815",Predatory,"Les Vans, France",Throat torn out.,C,NA,NA,France
"Cécile Trial, 12, female","June 20, 1815",Predatory,"Les Vans, France",Throat torn out.,NA,NA,NA,France
"Cécile Trial, 12, female","June 20, 1815",Predatory,"Les Vans, France",Throat torn out.,female,NA,female,France
"Rose Coste, 7, female","May 9, 1815",Predatory,"Malbosc, France",A wolf killed and ate a girl outside her house.,Rose Coste,NA,NA,France
"Rose Coste, 7, female","May 9, 1815",Predatory,"Malbosc, France",A wolf killed and ate a girl outside her house.,NA,NA,NA,France
"Rose Coste, 7, female","May 9, 1815",Predatory,"Malbosc, France",A wolf killed and ate a girl outside her house.,female,NA,female,France
Two people,"December 6, 1814",Predatory,"Chaingy, France",A wolf dubbed the Beast of Orléans killed two people and injured eight others.,Two people,NA,NA,France
"Marie-Anne Cribier, 14, female","December 5, 1814",Predatory,"Huisseau-sur-Mauves, France",NA,Marie-Anne Cribier,NA,NA,France
"Marie-Anne Cribier, 14, female","December 5, 1814",Predatory,"Huisseau-sur-Mauves, France",NA,NA,NA,NA,France
"Marie-Anne Cribier, 14, female","December 5, 1814",Predatory,"Huisseau-sur-Mauves, France",NA,female,NA,female,France
"Marie Domergue, 30, female","November 20, 1814",Predatory,"Saint-André-Capcèze, France",A wolf killed and partially ate a woman.,Marie Domergue,NA,NA,France
"Marie Domergue, 30, female","November 20, 1814",Predatory,"Saint-André-Capcèze, France",A wolf killed and partially ate a woman.,NA,NA,NA,France
"Marie Domergue, 30, female","November 20, 1814",Predatory,"Saint-André-Capcèze, France",A wolf killed and partially ate a woman.,female,NA,female,France
"Anne Robert veuve Comte, 38, female","October 14, 1814",Predatory,"Aujac, France","""Devoured by a wolf"".",Anne Robert veuve Comte,NA,NA,France
"Anne Robert veuve Comte, 38, female","October 14, 1814",Predatory,"Aujac, France","""Devoured by a wolf"".",NA,NA,NA,France
"Anne Robert veuve Comte, 38, female","October 14, 1814",Predatory,"Aujac, France","""Devoured by a wolf"".",female,NA,female,France
"Frédéric Comte, 4, male","October 28, 1814",Predatory,"Les Vans, France",NA,Fr,NA,NA,France
"Frédéric Comte, 4, male","October 28, 1814",Predatory,"Les Vans, France",NA,NA,NA,NA,France
"Frédéric Comte, 4, male","October 28, 1814",Predatory,"Les Vans, France",NA,male,NA,male,France
Child,"September 3, 1814",Predatory,"Blannay, France",A wolf inflicted fatal injuries on a child.,Child,NA,NA,France
Child,"September 3, 1814",Predatory,"Sermizelles, France",NA,Child,NA,NA,France
Child,"September 1, 1814",Predatory,"Malbosc, France",NA,Child,NA,NA,France
Child,"September 1, 1814",Predatory,"Aujac, France",NA,Child,NA,NA,France
"Rose Figeire, 4, female","September 1, 1814",Predatory,"Ponteils-et-Brésis, France",A wolf dragged away and partially ate a girl.,Rose Figeire,NA,NA,France
"Rose Figeire, 4, female","September 1, 1814",Predatory,"Ponteils-et-Brésis, France",A wolf dragged away and partially ate a girl.,NA,NA,NA,France
"Rose Figeire, 4, female","September 1, 1814",Predatory,"Ponteils-et-Brésis, France",A wolf dragged away and partially ate a girl.,female,NA,female,France
"François, 6, male","August 28, 1814",Predatory,"Malons-et-Elze, France","""Devoured by a wolf"".",Fran,NA,NA,France
"François, 6, male","August 28, 1814",Predatory,"Malons-et-Elze, France","""Devoured by a wolf"".",NA,NA,NA,France
"François, 6, male","August 28, 1814",Predatory,"Malons-et-Elze, France","""Devoured by a wolf"".",male,NA,male,France
"Unknown, adult, female","July 14, 1814",Predatory,"Saint-Cyr-les-Colons, France","A ""furious"" wolf killed and partially ate a woman.",Unknown,NA,NA,France
"Unknown, adult, female","July 14, 1814",Predatory,"Saint-Cyr-les-Colons, France","A ""furious"" wolf killed and partially ate a woman.",adult,adult,NA,France
"Unknown, adult, female","July 14, 1814",Predatory,"Saint-Cyr-les-Colons, France","A ""furious"" wolf killed and partially ate a woman.",female,NA,female,France
"Unknown, 8, female","June 31, 1814",Predatory,"Saint-Moré, France","A wolf killed and ate a girl, and injured two other children on the same day.",Unknown,NA,NA,France
"Unknown, 8, female","June 31, 1814",Predatory,"Saint-Moré, France","A wolf killed and ate a girl, and injured two other children on the same day.",NA,NA,NA,France
"Unknown, 8, female","June 31, 1814",Predatory,"Saint-Moré, France","A wolf killed and ate a girl, and injured two other children on the same day.",female,NA,female,France
"Unknown, 8, female","May 26, 1814",Predatory,"Voutenay-sur-Cure, France","A wolf dragged away and ate a girl, and had bitten an older girl on the same day.",Unknown,NA,NA,France
"Unknown, 8, female","May 26, 1814",Predatory,"Voutenay-sur-Cure, France","A wolf dragged away and ate a girl, and had bitten an older girl on the same day.",NA,NA,NA,France
"Unknown, 8, female","May 26, 1814",Predatory,"Voutenay-sur-Cure, France","A wolf dragged away and ate a girl, and had bitten an older girl on the same day.",female,NA,female,France
"Rose Henriette Dumas, 7, female","October 22, 1813",Predatory,"Saint-André-de-Cruzières, France",A wolf killed and partially ate a girl.,Rose Henriette Dumas,NA,NA,France
"Rose Henriette Dumas, 7, female","October 22, 1813",Predatory,"Saint-André-de-Cruzières, France",A wolf killed and partially ate a girl.,NA,NA,NA,France
"Rose Henriette Dumas, 7, female","October 22, 1813",Predatory,"Saint-André-de-Cruzières, France",A wolf killed and partially ate a girl.,female,NA,female,France
"Joseph Gadilhe, 14, male","September 8, 1813",Predatory,"Banne, France","A ""wolf-like animal"" killed and ate a boy.",Joseph Gadilhe,NA,NA,France
"Joseph Gadilhe, 14, male","September 8, 1813",Predatory,"Banne, France","A ""wolf-like animal"" killed and ate a boy.",NA,NA,NA,France
"Joseph Gadilhe, 14, male","September 8, 1813",Predatory,"Banne, France","A ""wolf-like animal"" killed and ate a boy.",male,NA,male,France
"Marie Rose André, 7, female","August 22, 1813",Predatory,"Concoules, France",A wolf killed and partially ate a girl.,Marie Rose Andr,NA,NA,France
"Marie Rose André, 7, female","August 22, 1813",Predatory,"Concoules, France",A wolf killed and partially ate a girl.,NA,NA,NA,France
"Marie Rose André, 7, female","August 22, 1813",Predatory,"Concoules, France",A wolf killed and partially ate a girl.,female,NA,female,France
"Unknown, child, female","June 29, 1813",Predatory,"Morey, France",NA,Unknown,NA,NA,France
"Unknown, child, female","June 29, 1813",Predatory,"Morey, France",NA,child,child,NA,France
"Unknown, child, female","June 29, 1813",Predatory,"Morey, France",NA,female,NA,female,France
"Unknown, adult, female","June 29, 1813",Predatory,"Percey-le-Grand, France",Wolves ate a woman.,Unknown,NA,NA,France
"Unknown, adult, female","June 29, 1813",Predatory,"Percey-le-Grand, France",Wolves ate a woman.,adult,adult,NA,France
"Unknown, adult, female","June 29, 1813",Predatory,"Percey-le-Grand, France",Wolves ate a woman.,female,NA,female,France
"Charbonnet, 12, female","June 28, 1813",Predatory,"Cult, Haute-Saône, France",A wolf killed and ate a shepherd girl who was guarding her flock with her mother.,Charbonnet,NA,NA,France
"Charbonnet, 12, female","June 28, 1813",Predatory,"Cult, Haute-Saône, France",A wolf killed and ate a shepherd girl who was guarding her flock with her mother.,NA,NA,NA,France
"Charbonnet, 12, female","June 28, 1813",Predatory,"Cult, Haute-Saône, France",A wolf killed and ate a shepherd girl who was guarding her flock with her mother.,female,NA,female,France
"Cardot, 10, female","June 25, 1813",Predatory,"Chancey, France",A wolf or wolves killed and ate a girl who was gathering herbs.,Cardot,NA,NA,France
"Cardot, 10, female","June 25, 1813",Predatory,"Chancey, France",A wolf or wolves killed and ate a girl who was gathering herbs.,NA,NA,NA,France
"Cardot, 10, female","June 25, 1813",Predatory,"Chancey, France",A wolf or wolves killed and ate a girl who was gathering herbs.,female,NA,female,France
"Jean-Baptiste Nicolas, 7, male","May 30, 1813",Predatory,"Sénéchas, France",A wolf inflicted fatal bites on a boy.,Jean-Baptiste Nicolas,NA,NA,France
"Jean-Baptiste Nicolas, 7, male","May 30, 1813",Predatory,"Sénéchas, France",A wolf inflicted fatal bites on a boy.,NA,NA,NA,France
"Jean-Baptiste Nicolas, 7, male","May 30, 1813",Predatory,"Sénéchas, France",A wolf inflicted fatal bites on a boy.,male,NA,male,France
"Catherine Figeire, 11, female","February 6, 1813",Predatory,"Ponteils, France","""Devoured"".",Catherine Figeire,NA,NA,France
"Catherine Figeire, 11, female","February 6, 1813",Predatory,"Ponteils, France","""Devoured"".",NA,NA,NA,France
"Catherine Figeire, 11, female","February 6, 1813",Predatory,"Ponteils, France","""Devoured"".",female,NA,female,France
"Marie-Rose Hours, 9, female","January 22, 1812",Predatory,"Malbosc, France",A wolf inflicted fatal bites on a girl.,Marie-Rose Hours,NA,NA,France
"Marie-Rose Hours, 9, female","January 22, 1812",Predatory,"Malbosc, France",A wolf inflicted fatal bites on a girl.,NA,NA,NA,France
"Marie-Rose Hours, 9, female","January 22, 1812",Predatory,"Malbosc, France",A wolf inflicted fatal bites on a girl.,female,NA,female,France
"Augustin Coulomb, 8, male","January 8, 1813",Predatory,"Sainte-Marguerite-Lafigère, France",A wolf attacked and partially ate a boy.,Augustin Coulomb,NA,NA,France
"Augustin Coulomb, 8, male","January 8, 1813",Predatory,"Sainte-Marguerite-Lafigère, France",A wolf attacked and partially ate a boy.,NA,NA,NA,France
"Augustin Coulomb, 8, male","January 8, 1813",Predatory,"Sainte-Marguerite-Lafigère, France",A wolf attacked and partially ate a boy.,male,NA,male,France
"Joseph Pialet, 3, male","December 30, 1812",Predatory,"Malbosc, France",A wolf carried a boy away from his yard and inflicted fatal injuries.,Joseph Pialet,NA,NA,France
"Joseph Pialet, 3, male","December 30, 1812",Predatory,"Malbosc, France",A wolf carried a boy away from his yard and inflicted fatal injuries.,NA,NA,NA,France
"Joseph Pialet, 3, male","December 30, 1812",Predatory,"Malbosc, France",A wolf carried a boy away from his yard and inflicted fatal injuries.,male,NA,male,France
"Marie Dairès, 9, female","November 21, 1812",Predatory,"Malons-et-Elze, France",Three wolves attacked and killed a shepherd girl who was protecting her flock.,Marie Dair,NA,NA,France
"Marie Dairès, 9, female","November 21, 1812",Predatory,"Malons-et-Elze, France",Three wolves attacked and killed a shepherd girl who was protecting her flock.,NA,NA,NA,France
"Marie Dairès, 9, female","November 21, 1812",Predatory,"Malons-et-Elze, France",Three wolves attacked and killed a shepherd girl who was protecting her flock.,female,NA,female,France
"Pierre-Victor Albaric, 4, male","November 19, 1812",Predatory,"Vialas, France",A wolf killed and partially ate a boy.,Pierre-Victor Albaric,NA,NA,France
"Pierre-Victor Albaric, 4, male","November 19, 1812",Predatory,"Vialas, France",A wolf killed and partially ate a boy.,NA,NA,NA,France
"Pierre-Victor Albaric, 4, male","November 19, 1812",Predatory,"Vialas, France",A wolf killed and partially ate a boy.,male,NA,male,France
"Joseph Auziol, 13, male","October 29, 1812",Predatory,"Malbosc, France",A wolf killed and ate a boy near his house.,Joseph Auziol,NA,NA,France
"Joseph Auziol, 13, male","October 29, 1812",Predatory,"Malbosc, France",A wolf killed and ate a boy near his house.,NA,NA,NA,France
"Joseph Auziol, 13, male","October 29, 1812",Predatory,"Malbosc, France",A wolf killed and ate a boy near his house.,male,NA,male,France
"Marie Chat, 3, female","October 28, 1812",Predatory,"Gravières, France",A wolf killed and ate a girl near her home.,Marie Chat,NA,NA,France
"Marie Chat, 3, female","October 28, 1812",Predatory,"Gravières, France",A wolf killed and ate a girl near her home.,NA,NA,NA,France
"Marie Chat, 3, female","October 28, 1812",Predatory,"Gravières, France",A wolf killed and ate a girl near her home.,female,NA,female,France
"Jean Placide Hours, 6, male","October 26, 1812",Predatory,"Malbosc, France","""Devoured.""",Jean Placide Hours,NA,NA,France
"Jean Placide Hours, 6, male","October 26, 1812",Predatory,"Malbosc, France","""Devoured.""",NA,NA,NA,France
"Jean Placide Hours, 6, male","October 26, 1812",Predatory,"Malbosc, France","""Devoured.""",male,NA,male,France
"Cyprien Marcias, 10, male","October 21, 1812",Predatory,"Concoules, France","A wolf, described as ""enormous"", killed a boy.",Cyprien Marcias,NA,NA,France
"Cyprien Marcias, 10, male","October 21, 1812",Predatory,"Concoules, France","A wolf, described as ""enormous"", killed a boy.",NA,NA,NA,France
"Cyprien Marcias, 10, male","October 21, 1812",Predatory,"Concoules, France","A wolf, described as ""enormous"", killed a boy.",male,NA,male,France
"François Marcy, 7, male","September 8, 1812",Predatory,"Les Vans, France","A wolf or wolves were believed to have killed and partially eaten a boy, burying some body parts in a pit.",Fran,NA,NA,France
"François Marcy, 7, male","September 8, 1812",Predatory,"Les Vans, France","A wolf or wolves were believed to have killed and partially eaten a boy, burying some body parts in a pit.",NA,NA,NA,France
"François Marcy, 7, male","September 8, 1812",Predatory,"Les Vans, France","A wolf or wolves were believed to have killed and partially eaten a boy, burying some body parts in a pit.",male,NA,male,France
Unknown child,"August 14, 1812",Predatory,"Near Mailley, France",Wolves inflicted fatal injuries on a child that was walking home.,Unknown child,child,NA,France
"Unknown, 13, male","January, 1812",Predatory,"Crozon, France",NA,Unknown,NA,NA,France
"Unknown, 13, male","January, 1812",Predatory,"Crozon, France",NA,NA,NA,NA,France
"Unknown, 13, male","January, 1812",Predatory,"Crozon, France",NA,male,NA,male,France
"Louis Herpeux, 14, male","October 11, 1811",Predatory,"Québriac, France",A large wolf dragged a boy into a forest.,Louis Herpeux,NA,NA,France
"Louis Herpeux, 14, male","October 11, 1811",Predatory,"Québriac, France",A large wolf dragged a boy into a forest.,NA,NA,NA,France
"Louis Herpeux, 14, male","October 11, 1811",Predatory,"Québriac, France",A large wolf dragged a boy into a forest.,male,NA,male,France
"Isaac, 5, male","September 22, 1811",Predatory,"Concoules, France",A wolf killed and partially ate a boy.,Isaac,NA,NA,France
"Isaac, 5, male","September 22, 1811",Predatory,"Concoules, France",A wolf killed and partially ate a boy.,NA,NA,NA,France
"Isaac, 5, male","September 22, 1811",Predatory,"Concoules, France",A wolf killed and partially ate a boy.,male,NA,male,France
"Jaques-François Claudinot, 10, male","September 15, 1811",Predatory,"Aujac, France",NA,Jaques-Fran,NA,NA,France
"Jaques-François Claudinot, 10, male","September 15, 1811",Predatory,"Aujac, France",NA,NA,NA,NA,France
"Jaques-François Claudinot, 10, male","September 15, 1811",Predatory,"Aujac, France",NA,male,NA,male,France
"Pierre André, 5, male","August 25, 1811",Predatory,"Concoules, France",A wolf killed and partially ate a boy.,Pierre Andr,NA,NA,France
"Pierre André, 5, male","August 25, 1811",Predatory,"Concoules, France",A wolf killed and partially ate a boy.,NA,NA,NA,France
"Pierre André, 5, male","August 25, 1811",Predatory,"Concoules, France",A wolf killed and partially ate a boy.,male,NA,male,France
"Unknown, child","July 3, 1811",Predatory,"Vezet, France",NA,Unknown,NA,NA,France
"Unknown, child","July 3, 1811",Predatory,"Vezet, France",NA,child,child,NA,France
"Unknown, child","July 3, 1811",Predatory,"Arbecey, France",NA,Unknown,NA,NA,France
"Unknown, child","July 3, 1811",Predatory,"Arbecey, France",NA,child,child,NA,France
Three children,"April 14, 1811",Predatory,"Near Ponteils, France",NA,Three children,child,NA,France
"Jean-Baptiste Blanc, 6, male","March 24, 1811",Predatory,"Saint-André-Capèze, France",Wolves killed a shepherd boy defending his flock.,Jean-Baptiste Blanc,NA,NA,France
"Jean-Baptiste Blanc, 6, male","March 24, 1811",Predatory,"Saint-André-Capèze, France",Wolves killed a shepherd boy defending his flock.,NA,NA,NA,France
"Jean-Baptiste Blanc, 6, male","March 24, 1811",Predatory,"Saint-André-Capèze, France",Wolves killed a shepherd boy defending his flock.,male,NA,male,France
"Unknown, 9, female","February 15, 1811",Predatory,"Clairefontaine, France","A wolf severely injured a girl near a woodland, attacking for half an hour before she was rescued.",Unknown,NA,NA,France
"Unknown, 9, female","February 15, 1811",Predatory,"Clairefontaine, France","A wolf severely injured a girl near a woodland, attacking for half an hour before she was rescued.",NA,NA,NA,France
"Unknown, 9, female","February 15, 1811",Predatory,"Clairefontaine, France","A wolf severely injured a girl near a woodland, attacking for half an hour before she was rescued.",female,NA,female,France
"Judith Geraets, 3, female","August 17, 1810",Predatory,"Beringen, Helden, The Netherlands","A wolf killed a girl who was collecting cattle feed in the field with her ten-year-old sister at 8:00 pm. The wolf took the child into the moorland to eat the child. The next day her intestines were found during a drive-hunt. On September 2, a wolf was encountered with a child's head in his mouth.",Judith Geraets,NA,NA,The Netherlands
"Judith Geraets, 3, female","August 17, 1810",Predatory,"Beringen, Helden, The Netherlands","A wolf killed a girl who was collecting cattle feed in the field with her ten-year-old sister at 8:00 pm. The wolf took the child into the moorland to eat the child. The next day her intestines were found during a drive-hunt. On September 2, a wolf was encountered with a child's head in his mouth.",NA,NA,NA,The Netherlands
"Judith Geraets, 3, female","August 17, 1810",Predatory,"Beringen, Helden, The Netherlands","A wolf killed a girl who was collecting cattle feed in the field with her ten-year-old sister at 8:00 pm. The wolf took the child into the moorland to eat the child. The next day her intestines were found during a drive-hunt. On September 2, a wolf was encountered with a child's head in his mouth.",female,NA,female,The Netherlands
"Victoire Polge, 7, male","October 6, 1809",Predatory,"Génolhac, France",A wolf or wolves were believed to have attacked and eaten a boy.,Victoire Polge,NA,NA,France
"Victoire Polge, 7, male","October 6, 1809",Predatory,"Génolhac, France",A wolf or wolves were believed to have attacked and eaten a boy.,NA,NA,NA,France
"Victoire Polge, 7, male","October 6, 1809",Predatory,"Génolhac, France",A wolf or wolves were believed to have attacked and eaten a boy.,male,NA,male,France
"Jean Almeras, 5, male","October 2, 1809",Predatory,"Ponteils, France",A wolf killed and ate a shepherd boy defending his flock.,Jean Almeras,NA,NA,France
"Jean Almeras, 5, male","October 2, 1809",Predatory,"Ponteils, France",A wolf killed and ate a shepherd boy defending his flock.,NA,NA,NA,France
"Jean Almeras, 5, male","October 2, 1809",Predatory,"Ponteils, France",A wolf killed and ate a shepherd boy defending his flock.,male,NA,male,France
"Adélaïde Simon, 9, female","June 10, 1809",Predatory,"Sénoncourt, France",A wolf killed a shepherd girl guarding her flock.,Ad,NA,NA,France
"Adélaïde Simon, 9, female","June 10, 1809",Predatory,"Sénoncourt, France",A wolf killed a shepherd girl guarding her flock.,NA,NA,NA,France
"Adélaïde Simon, 9, female","June 10, 1809",Predatory,"Sénoncourt, France",A wolf killed a shepherd girl guarding her flock.,female,NA,female,France
"Unknown, 10, male","June 3, 1809",Predatory,"Amance, France",A wolf killed a boy who was tending to livestock with two friends.,Unknown,NA,NA,France
"Unknown, 10, male","June 3, 1809",Predatory,"Amance, France",A wolf killed a boy who was tending to livestock with two friends.,NA,NA,NA,France
"Unknown, 10, male","June 3, 1809",Predatory,"Amance, France",A wolf killed a boy who was tending to livestock with two friends.,male,NA,male,France
"Antoine Fleurot, 19, male","March 28, 1809",Predatory,"Saint-Léger-Vauban, France",A wolf or wolves killed and partially ate a man.,Antoine Fleurot,NA,NA,France
"Antoine Fleurot, 19, male","March 28, 1809",Predatory,"Saint-Léger-Vauban, France",A wolf or wolves killed and partially ate a man.,NA,NA,NA,France
"Antoine Fleurot, 19, male","March 28, 1809",Predatory,"Saint-Léger-Vauban, France",A wolf or wolves killed and partially ate a man.,male,NA,male,France
"Unknown, child, female",1807,Predatory,"Cugnet, France",A wolf or wolves killed and partially ate a girl.,Unknown,NA,NA,France
"Unknown, child, female",1807,Predatory,"Cugnet, France",A wolf or wolves killed and partially ate a girl.,child,child,NA,France
"Unknown, child, female",1807,Predatory,"Cugnet, France",A wolf or wolves killed and partially ate a girl.,female,NA,female,France
Two children,"July, 1807",Predatory,"Near Beauvais, France",NA,Two children,child,NA,France
"Unknown, 4, male","June 24, 1807",Predatory,"Yssingeaux, France",A wolf carried away and ate a boy.,Unknown,NA,NA,France
"Unknown, 4, male","June 24, 1807",Predatory,"Yssingeaux, France",A wolf carried away and ate a boy.,NA,NA,NA,France
"Unknown, 4, male","June 24, 1807",Predatory,"Yssingeaux, France",A wolf carried away and ate a boy.,male,NA,male,France
"Vitaux, 8, male","June 13, 1807",Predatory,"Sacy, France",Starving wolves ate a boy.,Vitaux,NA,NA,France
"Vitaux, 8, male","June 13, 1807",Predatory,"Sacy, France",Starving wolves ate a boy.,NA,NA,NA,France
"Vitaux, 8, male","June 13, 1807",Predatory,"Sacy, France",Starving wolves ate a boy.,male,NA,male,France
"Unknown, child","June, 1807",Predatory,"Near Beauvais, France",A wolf killed one child and seriously injured another.,Unknown,NA,NA,France
"Unknown, child","June, 1807",Predatory,"Near Beauvais, France",A wolf killed one child and seriously injured another.,child,child,NA,France
"Unknown, 4, female","July, 1806",Predatory,"Saint-Géry, France",A wolf partially ate a girl in front of her house.,Unknown,NA,NA,France
"Unknown, 4, female","July, 1806",Predatory,"Saint-Géry, France",A wolf partially ate a girl in front of her house.,NA,NA,NA,France
"Unknown, 4, female","July, 1806",Predatory,"Saint-Géry, France",A wolf partially ate a girl in front of her house.,female,NA,female,France
"Berthe, 12, female","July 1, 1801",Predatory,"La Chapelle-Saint-André, France",A wolf killed and ate a girl and injured several other children.,Berthe,NA,NA,France
"Berthe, 12, female","July 1, 1801",Predatory,"La Chapelle-Saint-André, France",A wolf killed and ate a girl and injured several other children.,NA,NA,NA,France
"Berthe, 12, female","July 1, 1801",Predatory,"La Chapelle-Saint-André, France",A wolf killed and ate a girl and injured several other children.,female,NA,female,France
"Midrouillet, 14, male","June 30, 1801",Predatory,"Colméry, France",NA,Midrouillet,NA,NA,France
"Midrouillet, 14, male","June 30, 1801",Predatory,"Colméry, France",NA,NA,NA,NA,France
"Midrouillet, 14, male","June 30, 1801",Predatory,"Colméry, France",NA,male,NA,male,France
"Gayeux, 14, female","June 17, 1801",Predatory,"La Chapelle-Saint-André, France",A wolf ate a shepherd boy who was tending his flock.,Gayeux,NA,NA,France
"Gayeux, 14, female","June 17, 1801",Predatory,"La Chapelle-Saint-André, France",A wolf ate a shepherd boy who was tending his flock.,NA,NA,NA,France
"Gayeux, 14, female","June 17, 1801",Predatory,"La Chapelle-Saint-André, France",A wolf ate a shepherd boy who was tending his flock.,female,NA,female,France
"Coignet, 12, female","June 15, 1801",Predatory,"Menou, France",A wolf ate a shepherd girl who was tending her flock.,Coignet,NA,NA,France
"Coignet, 12, female","June 15, 1801",Predatory,"Menou, France",A wolf ate a shepherd girl who was tending her flock.,NA,NA,NA,France
"Coignet, 12, female","June 15, 1801",Predatory,"Menou, France",A wolf ate a shepherd girl who was tending her flock.,female,NA,female,France
"Jean Aimard, 10, male","June 13, 1801",Predatory,"Oudan, France",A wolf ate a shepherd boy who was tending his flock.,Jean Aimard,NA,NA,France
"Jean Aimard, 10, male","June 13, 1801",Predatory,"Oudan, France",A wolf ate a shepherd boy who was tending his flock.,NA,NA,NA,France
"Jean Aimard, 10, male","June 13, 1801",Predatory,"Oudan, France",A wolf ate a shepherd boy who was tending his flock.,male,NA,male,France
"Jean Paisan, 5, male","June 12, 1801",Predatory,"Varzy, France",A wolf ate a shepherd boy who was tending his flock.,Jean Paisan,NA,NA,France
"Jean Paisan, 5, male","June 12, 1801",Predatory,"Varzy, France",A wolf ate a shepherd boy who was tending his flock.,NA,NA,NA,France
"Jean Paisan, 5, male","June 12, 1801",Predatory,"Varzy, France",A wolf ate a shepherd boy who was tending his flock.,male,NA,male,France
"Madeleine Champy, 10, female","May 25, 1801",Predatory,"Varzy, France","A wolf described as a ""greyhound"" or ""morning wolf"" killed and ate a girl.",Madeleine Champy,NA,NA,France
"Madeleine Champy, 10, female","May 25, 1801",Predatory,"Varzy, France","A wolf described as a ""greyhound"" or ""morning wolf"" killed and ate a girl.",NA,NA,NA,France
"Madeleine Champy, 10, female","May 25, 1801",Predatory,"Varzy, France","A wolf described as a ""greyhound"" or ""morning wolf"" killed and ate a girl.",female,NA,female,France
"Unknown, about 6–8 years, female","December 28, 1800",Predatory,"Sørum, Akershus, Norway",NA,Unknown,NA,NA,Norway
"Unknown, about 6–8 years, female","December 28, 1800",Predatory,"Sørum, Akershus, Norway",NA,about,NA,NA,Norway
"Unknown, about 6–8 years, female","December 28, 1800",Predatory,"Sørum, Akershus, Norway",NA,female,NA,female,Norway
"Julien, child, female","July 7, 1799",Predatory,"Veyreau, France",NA,Julien,NA,NA,France
"Julien, child, female","July 7, 1799",Predatory,"Veyreau, France",NA,child,child,NA,France
"Julien, child, female","July 7, 1799",Predatory,"Veyreau, France",NA,female,NA,female,France
"Graille, child, male","July 7, 1799",Predatory,"Veyreau, France",NA,Graille,NA,NA,France
"Graille, child, male","July 7, 1799",Predatory,"Veyreau, France",NA,child,child,NA,France
"Graille, child, male","July 7, 1799",Predatory,"Veyreau, France",NA,male,NA,male,France
"Pierre-Jean Mauri, 6, male","June 23, 1799",Predatory,"Veyreau, France",NA,Pierre-Jean Mauri,NA,NA,France
"Pierre-Jean Mauri, 6, male","June 23, 1799",Predatory,"Veyreau, France",NA,NA,NA,NA,France
"Pierre-Jean Mauri, 6, male","June 23, 1799",Predatory,"Veyreau, France",NA,male,NA,male,France
"François Nante, 10, male","November 4, 1797",Predatory,"La Tranclière, France",Wolves ate a boy.,Fran,NA,NA,France
"François Nante, 10, male","November 4, 1797",Predatory,"La Tranclière, France",Wolves ate a boy.,NA,NA,NA,France
"François Nante, 10, male","November 4, 1797",Predatory,"La Tranclière, France",Wolves ate a boy.,male,NA,male,France
"Unknown, 5","August 18, 1797",Predatory,"Viliers-sur-Loir, France","Wolves ate a child, prompting a large-scale hunt at Montoire.",Unknown,NA,NA,France
"Unknown, 5","August 18, 1797",Predatory,"Viliers-sur-Loir, France","Wolves ate a child, prompting a large-scale hunt at Montoire.",NA,NA,NA,France
"Jean Delpuech, 7, male","September 10, 1796",Predatory,"Pleaux, France","A wolf inflicted fatal injuries on a boy near the ""Dix-Maisons"" section.",Jean Delpuech,NA,NA,France
"Jean Delpuech, 7, male","September 10, 1796",Predatory,"Pleaux, France","A wolf inflicted fatal injuries on a boy near the ""Dix-Maisons"" section.",NA,NA,NA,France
"Jean Delpuech, 7, male","September 10, 1796",Predatory,"Pleaux, France","A wolf inflicted fatal injuries on a boy near the ""Dix-Maisons"" section.",male,NA,male,France
8-10 children,"May 4, 1796",Predatory,"Donzy, France",NA,NA,child,NA,France
